# Seeded from IMDb public datasets by ranking tvSeries using rating * log10(votes). Generated on 2026-01-21T18:08:33.716698Z
rank,title,imdb_url,imdb_tconst,year
1,Breaking Bad,https://www.imdb.com/title/tt0903747/,tt0903747,2008
2,Game of Thrones,https://www.imdb.com/title/tt0944947/,tt0944947,2011
3,Sherlock,https://www.imdb.com/title/tt1475582/,tt1475582,2010
4,Friends,https://www.imdb.com/title/tt0108778/,tt0108778,1994
5,Stranger Things,https://www.imdb.com/title/tt4574334/,tt4574334,2016
6,The Office,https://www.imdb.com/title/tt0386676/,tt0386676,2005
7,Better Call Saul,https://www.imdb.com/title/tt3032476/,tt3032476,2015
8,Attack on Titan,https://www.imdb.com/title/tt2560140/,tt2560140,2013
9,The Sopranos,https://www.imdb.com/title/tt0141842/,tt0141842,1999
10,Rick and Morty,https://www.imdb.com/title/tt2861424/,tt2861424,2013
11,Avatar: The Last Airbender,https://www.imdb.com/title/tt0417299/,tt0417299,2005
12,The Wire,https://www.imdb.com/title/tt0306414/,tt0306414,2002
13,True Detective,https://www.imdb.com/title/tt2356777/,tt2356777,2014
14,Dexter,https://www.imdb.com/title/tt0773262/,tt0773262,2006
15,Peaky Blinders,https://www.imdb.com/title/tt2442560/,tt2442560,2013
16,Black Mirror,https://www.imdb.com/title/tt2085059/,tt2085059,2011
17,The Boys,https://www.imdb.com/title/tt1190634/,tt1190634,2019
18,Arcane,https://www.imdb.com/title/tt11126994/,tt11126994,2021
19,Death Note,https://www.imdb.com/title/tt0877057/,tt0877057,2006
20,House,https://www.imdb.com/title/tt0412142/,tt0412142,2004
21,Aspirants,https://www.imdb.com/title/tt14392248/,tt14392248,2021
22,The Mandalorian,https://www.imdb.com/title/tt8111088/,tt8111088,2019
23,Fargo,https://www.imdb.com/title/tt2802850/,tt2802850,2014
24,The Last of Us,https://www.imdb.com/title/tt3581920/,tt3581920,2023
25,One Piece,https://www.imdb.com/title/tt0388629/,tt0388629,1999
26,Dark,https://www.imdb.com/title/tt5753856/,tt5753856,2017
27,Narcos,https://www.imdb.com/title/tt2707408/,tt2707408,2015
28,Seinfeld,https://www.imdb.com/title/tt0098904/,tt0098904,1989
29,Ted Lasso,https://www.imdb.com/title/tt10986410/,tt10986410,2020
30,House of Cards,https://www.imdb.com/title/tt1856010/,tt1856010,2013
31,Vikings,https://www.imdb.com/title/tt2306299/,tt2306299,2013
32,The Walking Dead,https://www.imdb.com/title/tt1520211/,tt1520211,2010
33,Daredevil,https://www.imdb.com/title/tt3322312/,tt3322312,2015
34,South Park,https://www.imdb.com/title/tt0121955/,tt0121955,1997
35,Fullmetal Alchemist: Brotherhood,https://www.imdb.com/title/tt1355642/,tt1355642,2009
36,How I Met Your Mother,https://www.imdb.com/title/tt0460649/,tt0460649,2005
37,The Simpsons,https://www.imdb.com/title/tt0096697/,tt0096697,1989
38,Firefly,https://www.imdb.com/title/tt0303461/,tt0303461,2002
39,Succession,https://www.imdb.com/title/tt7660850/,tt7660850,2018
40,Modern Family,https://www.imdb.com/title/tt1442437/,tt1442437,2009
41,Severance,https://www.imdb.com/title/tt11280740/,tt11280740,2022
42,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,tt0898266,2007
43,Lost,https://www.imdb.com/title/tt0411008/,tt0411008,2004
